CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
2682,828.013302,1.0,126.48,0.0,126.48,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,301.728915,224.641178,0.0,12
2684,1452.469721,1.0,205.89,205.89,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1600.0,501.655195,490.885882,0.0,12
2802,8.061012,0.363636,133.0,0.0,133.0,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,130.61272,41.436595,0.181818,12
2814,4.448015,0.272727,71.81,0.0,71.81,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,257.226631,130.382506,1.0,12
2846,6.995368,0.363636,76.78,0.0,76.78,0.0,0.25,0.0,0.25,0.0,0,3,4000.0,292.806443,131.476836,0.5,12
2946,22.56964,0.545455,248.1,110.8,137.3,0.0,0.25,0.166667,0.083333,0.0,0,7,1200.0,111.212325,74.477866,0.0,12
3086,936.370785,1.0,158.45,158.45,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1700.0,160.698863,443.538283,0.0,12
3096,57.862875,0.272727,579.0,0.0,579.0,0.0,0.25,0.0,0.25,0.0,0,6,5000.0,2124.54787,129.84145,1.0,12
3294,1504.334228,0.909091,565.0,565.0,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2200.0,2511.315474,471.295665,0.0,12
3420,2828.808139,1.0,199.0,0.0,199.0,0.0,0.25,0.0,0.166667,0.0,0,3,8000.0,615.69756,792.533866,0.0,12
3612,3.483716,0.272727,98.81,0.0,98.81,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,368.319582,135.799005,1.0,12
3756,996.619846,0.727273,581.8,520.0,61.8,0.0,0.25,0.083333,0.166667,0.0,0,3,8500.0,2088.919798,238.591204,0.0,12
3814,939.152528,1.0,3393.25,3364.59,77.66,0.0,0.25,0.25,0.083333,0.0,0,5,9000.0,2768.821579,267.093439,0.0,12
4014,1150.280984,1.0,450.0,250.0,200.0,0.0,0.25,0.166667,0.083333,0.0,0,4,1200.0,839.754013,766.890275,0.0,12
4020,452.951976,0.454545,3649.83,3649.83,0.0,0.0,0.25,0.25,0.0,0.0,0,10,7500.0,209.217046,164.503829,0.0,12
4160,159.210281,1.0,247.8,75.8,172.0,0.0,0.25,0.083333,0.166667,0.0,0,3,5000.0,607.575208,155.618451,0.0,12
4182,5.644904,0.454545,47.5,0.0,47.5,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,70.554065,42.434715,0.1,12
4192,1125.306541,1.0,703.05,703.05,0.0,0.0,0.25,0.25,0.0,0.0,0,9,1300.0,104.476763,421.150061,0.0,8
4350,199.462047,1.0,1296.2,745.82,550.38,0.0,0.25,0.25,0.166667,0.0,0,14,1800.0,18.125527,110.486344,0.0,12
4414,2089.997028,1.0,2576.0,2576.0,0.0,0.0,0.25,0.25,0.0,0.0,0,4,5700.0,574.514857,531.183467,0.0,12
4498,79.03891,0.363636,750.0,0.0,750.0,0.0,0.25,0.0,0.25,0.0,0,3,1300.0,2445.816802,177.31285,1.0,12
4750,79.517489,0.818182,335.38,270.0,65.38,0.0,0.25,0.083333,0.083333,0.0,0,3,3000.0,413.920617,122.063597,0.111111,12
4772,72.372971,0.363636,456.7,456.7,0.0,0.0,0.25,0.25,0.0,0.0,0,4,1200.0,312.287787,163.340754,0.0,12
4896,1687.570137,1.0,162.04,73.04,89.0,0.0,0.25,0.083333,0.166667,0.0,0,4,1800.0,331.015115,919.874346,0.0,12
4922,49.378783,0.375,542.34,542.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2700.0,387.944071,113.60971,1.0,8
4972,38.615644,0.727273,280.4,280.4,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6150.0,254.392984,55.79974,0.090909,12
5002,23.111629,0.363636,237.66,0.0,237.66,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,538.820587,131.332498,1.0,12
5010,4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,217.820198,121.781205,1.0,12
5084,1082.653038,1.0,343.22,343.22,0.0,0.0,0.25,0.25,0.0,0.0,0,4,1200.0,510.918269,282.782763,0.0,12
5114,158.657744,0.909091,752.0,752.0,0.0,0.0,0.25,0.25,0.0,0.0,0,4,2500.0,865.171658,161.710712,0.0,12
5246,3.019634,0.25,45.6,0.0,45.6,0.0,0.25,0.0,0.25,0.0,0,2,1600.0,73.212859,111.928897,0.0,8
5452,126.622651,0.375,1015.3,1015.3,0.0,0.0,0.25,0.25,0.0,0.0,0,5,4500.0,2583.278505,75.160365,1.0,8
5588,242.161751,1.0,686.0,686.0,0.0,0.0,0.25,0.25,0.0,0.0,0,5,1600.0,79.554524,142.15912,0.0,12
5650,1607.053725,1.0,451.9,335.0,116.9,0.0,0.25,0.083333,0.166667,0.0,0,6,2500.0,569.867313,482.831701,0.0,12
5668,319.037744,0.818182,1262.28,1262.28,0.0,0.0,0.25,0.25,0.0,0.0,0,6,10500.0,1350.541585,218.810614,0.125,12
5746,18.906225,0.272727,143.73,0.0,143.73,0.0,0.25,0.0,0.166667,0.0,0,3,2500.0,0.0,,0.0,12
5758,900.541751,1.0,15.8,0.0,15.8,0.0,0.25,0.0,0.25,0.0,0,3,7000.0,1542.583506,375.127536,0.0,12
5828,2332.392373,1.0,306.36,0.0,306.36,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,670.376849,627.343242,0.0,12
5934,14.04272,0.727273,47.79,47.79,0.0,0.0,0.25,0.083333,0.0,0.0,0,1,1200.0,62.177249,187.682034,0.0,12
6026,379.767959,1.0,493.5,493.5,0.0,0.0,0.25,0.25,0.0,0.0,0,3,4000.0,3308.04995,3396.356156,0.272727,12
6062,10.811047,0.454545,85.5,0.0,85.5,0.0,0.25,0.0,0.166667,0.0,0,3,1500.0,245.987433,132.932707,1.0,12
6182,42.125651,0.636364,453.89,453.89,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6500.0,793.296498,127.427088,1.0,12
6258,15.740657,0.727273,72.0,72.0,0.0,0.0,0.25,0.25,0.0,0.0,0,5,1000.0,44.098703,205.53426,0.0,12
6272,2530.378121,1.0,55.5,0.0,55.5,0.0,0.25,0.0,0.25,0.0,0,3,3500.0,1041.914403,585.213037,0.0,12
6294,768.881695,0.727273,408.59,408.59,0.0,0.0,0.25,0.25,0.0,0.0,0,7,2500.0,2095.952073,250.856639,0.125,12
6344,454.181676,1.0,1361.65,1361.65,0.0,0.0,0.25,0.25,0.0,0.0,0,9,4000.0,1643.948056,152.368392,0.166667,12
6394,16.176672,0.363636,95.55,0.0,95.55,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,136.961964,59.907285,0.0,12
6416,38.795708,0.636364,229.48,229.48,0.0,0.0,0.25,0.25,0.0,0.0,0,3,3050.0,392.882251,132.864883,0.0,12
6474,6.149295,0.181818,169.01,0.0,169.01,0.0,0.25,0.0,0.25,0.0,0,3,10000.0,731.852542,128.525835,0.666667,12
6718,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,,0.0,12
6720,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,,0.0,12
6812,0.0,0.0,64.62,0.0,64.62,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,0.0,,0.0,12
6908,965.605202,1.0,215.0,215.0,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1000.0,398.080493,718.175953,0.0,12
6996,25.72535,0.363636,150.48,0.0,150.48,0.0,0.25,0.0,0.25,0.0,0,3,2500.0,558.52387,200.77995,0.0,12
7050,105.182503,0.272727,787.09,754.47,32.62,0.0,0.25,0.25,0.083333,0.0,0,11,2500.0,840.571045,147.116092,0.0,12
7188,687.378139,1.0,74.42,0.0,74.42,0.0,0.25,0.0,0.25,0.0,0,3,700.0,353.250281,492.588377,0.0,12
7226,42.755706,0.545455,350.94,284.29,66.65,0.0,0.25,0.25,0.25,0.0,0,9,5000.0,1191.823088,195.006921,0.4,12
7234,68.845891,0.363636,853.44,603.84,249.6,0.0,0.25,0.166667,0.083333,0.0,0,4,11500.0,789.202649,138.72196,0.0,12
7310,126.159165,1.0,144.9,144.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,450.0,1307.853194,1336.106153,0.333333,12
7458,22.455964,0.272727,185.25,0.0,185.25,0.0,0.25,0.0,0.166667,0.0,0,3,1000.0,371.216038,163.465952,1.0,12
7460,190.324034,1.0,322.33,238.97,83.36,0.0,0.25,0.083333,0.166667,0.0,0,3,6500.0,524.430161,175.583266,0.0,12
7486,606.323282,1.0,299.9,299.9,0.0,0.0,0.25,0.25,0.0,0.0,0,3,4200.0,502.64224,204.447891,0.0,12
7490,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12
7526,12.540151,0.363636,201.0,104.5,96.5,0.0,0.25,0.083333,0.166667,0.0,0,4,2500.0,479.948299,142.198683,1.0,12
7630,65.253182,0.363636,1027.41,1027.41,0.0,0.0,0.25,0.25,0.0,0.0,0,7,6000.0,1558.234063,165.821848,0.666667,12
7650,1601.692049,1.0,61.46,0.0,61.46,0.0,0.25,0.0,0.25,0.0,0,6,4000.0,399.369214,512.759705,0.0,12
8030,28.320092,0.363636,332.5,0.0,332.5,0.0,0.25,0.0,0.166667,0.0,0,6,3000.0,812.371249,162.177358,0.333333,12
8046,136.839366,0.636364,1133.54,1133.54,0.0,0.0,0.25,0.25,0.0,0.0,0,4,16500.0,4802.004681,234.303131,0.428571,12
8120,208.707195,0.545455,2351.58,2351.58,0.0,0.0,0.25,0.25,0.0,0.0,0,7,4500.0,3711.189548,162.638519,1.0,12
8222,27.742435,0.272727,303.24,0.0,303.24,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,775.085467,177.669243,0.0,12
8316,89.567592,0.545455,990.73,990.73,0.0,0.0,0.25,0.25,0.0,0.0,0,9,4000.0,2626.23328,102.594438,0.5,12
8444,719.592571,0.727273,124.13,45.65,78.48,0.0,0.25,0.083333,0.166667,0.0,0,3,3000.0,1486.14717,390.098144,0.0,12
8450,87.908147,0.545455,895.11,895.11,0.0,0.0,0.25,0.25,0.0,0.0,0,5,16500.0,1082.659906,103.425559,0.0,12
8510,927.983543,1.0,1321.52,1321.52,0.0,0.0,0.25,0.25,0.0,0.0,0,15,4500.0,527.949934,264.030133,0.0,12
8554,88.905573,0.727273,537.56,537.56,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2500.0,563.972982,210.924256,0.0,12
8770,501.360034,1.0,107.27,107.27,0.0,0.0,0.25,0.25,0.0,0.0,0,3,7500.0,614.163281,188.038862,0.0,12
8938,202.08047,1.0,190.96,0.0,190.96,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,156.408373,173.016455,0.083333,12
3088,37.765185,0.75,158.64,0.0,158.64,0.0,0.375,0.0,0.25,0.0,0,3,1500.0,178.288853,66.521398,0.0,8
4602,10.318754,0.625,102.66,0.0,102.66,0.0,0.375,0.0,0.25,0.0,0,3,1500.0,190.431856,55.178854,0.0,8
7620,231.422388,0.875,822.93,822.93,0.0,0.0,0.375,0.375,0.0,0.0,0,12,1200.0,120.912757,122.220568,0.0,8
48,11.047149,0.545455,180.5,0.0,180.5,0.0,0.5,0.0,0.333333,0.0,0,8,4000.0,269.952974,173.696638,0.75,12
64,126.872455,0.545455,568.5,0.0,568.5,0.0,0.5,0.0,0.5,0.0,0,6,2000.0,1294.215768,201.544737,0.0,12
86,26.767358,0.6,190.0,90.0,100.0,0.0,0.5,0.1,0.3,0.0,0,7,1200.0,270.6586,136.109592,0.0,10
98,2196.006333,1.0,666.89,550.79,116.1,0.0,0.5,0.25,0.166667,0.0,0,8,7500.0,579.257195,773.160428,0.0,12
152,103.622401,0.909091,351.5,0.0,351.5,0.0,0.5,0.0,0.416667,0.0,0,9,3000.0,350.616751,169.07969,0.111111,12
218,3322.31489,1.0,676.0,601.0,75.0,0.0,0.5,0.25,0.333333,0.0,0,9,10000.0,867.587298,753.39587,0.0,12
576,21.441736,0.636364,197.62,0.0,197.62,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,398.382513,153.645248,1.0,12
694,144.129221,0.727273,949.59,272.0,677.59,0.0,0.5,0.25,0.333333,0.0,0,11,4000.0,999.711434,121.912794,0.1,12
696,146.647091,1.0,866.57,684.87,181.7,0.0,0.5,0.333333,0.166667,0.0,0,12,2500.0,1085.866453,119.015325,0.090909,12
732,131.260514,0.5,1109.91,1109.91,0.0,0.0,0.5,0.5,0.0,0.0,0,21,9500.0,2137.485075,89.478836,1.0,10
740,94.02407,0.636364,1099.5,849.0,250.5,0.0,0.5,0.166667,0.25,0.0,0,8,6000.0,1442.251089,95.209217,0.0,12
812,311.341555,0.909091,3721.39,3721.39,0.0,0.0,0.5,0.5,0.0,0.0,0,26,4000.0,4004.905569,156.580586,0.714286,12
818,13.036611,0.818182,197.0,0.0,197.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,224.836018,89.18596,0.444444,12
848,11.395369,0.636364,100.5,0.0,100.5,0.0,0.5,0.0,0.5,0.0,0,6,3000.0,148.92824,87.113913,0.142857,12
912,3310.573808,1.0,717.14,649.14,68.0,0.0,0.5,0.333333,0.083333,0.0,0,7,12500.0,1372.959063,775.796181,0.0,12
1030,634.825209,1.0,1478.36,1343.45,134.91,0.0,0.5,0.416667,0.166667,0.0,0,12,1200.0,1371.998686,336.282655,0.0,12
1066,54.27007,0.454545,2071.92,2071.92,0.0,0.0,0.5,0.5,0.0,0.0,0,13,9000.0,1241.531755,59.598451,0.0,12
1116,464.445178,1.0,436.3,0.0,436.3,0.0,0.5,0.0,0.4,0.0,0,5,1800.0,523.180176,182.241613,0.0,10
1122,11.799054,0.5,77.36,0.0,77.36,0.0,0.5,0.0,0.375,0.0,0,4,1200.0,103.635381,117.664686,1.0,8
1214,28.909122,1.0,177.05,0.0,177.05,0.0,0.5,0.0,0.333333,0.0,0,5,1200.0,165.005267,88.205007,0.0,6
1312,29.360369,0.545455,520.3,424.5,95.8,0.0,0.5,0.083333,0.333333,0.0,0,6,4000.0,381.22527,100.321702,0.181818,12
1338,28.486124,0.454545,130.26,0.0,130.26,0.0,0.5,0.0,0.5,0.0,0,10,2500.0,325.966302,146.604543,0.0,12
1356,13.125634,0.545455,106.98,0.0,106.98,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,275.244392,142.4175,0.5,12
1438,21.12921,0.545455,229.5,54.0,175.5,0.0,0.5,0.083333,0.416667,0.0,0,7,3150.0,423.206638,157.471831,0.714286,12
1468,169.343874,0.818182,1553.8,1553.8,0.0,0.0,0.5,0.5,0.0,0.0,0,8,16500.0,1921.042991,125.895667,0.8,12
1482,61.976914,0.818182,401.63,401.63,0.0,0.0,0.5,0.5,0.0,0.0,0,7,6000.0,806.587482,130.017867,0.2,12
1666,57.937789,1.0,450.0,450.0,0.0,0.0,0.5,0.5,0.0,0.0,0,6,4000.0,395.680968,181.630966,0.25,12
1762,588.795215,0.636364,4116.0,0.0,4116.0,0.0,0.5,0.0,0.5,0.0,0,12,21500.0,8130.112361,224.763498,1.0,12
1772,152.255187,0.833333,894.28,894.28,0.0,0.0,0.5,0.5,0.0,0.0,0,5,4000.0,304.061592,84.043137,0.0,6
1780,564.02688,1.0,1007.4,941.82,65.58,0.0,0.5,0.5,0.083333,0.0,0,11,2000.0,506.930593,198.49507,0.0,12
1886,233.961592,1.0,248.44,13.0,235.44,0.0,0.5,0.083333,0.416667,0.0,0,6,1200.0,219.96077,174.71331,0.0,12
1888,830.51605,1.0,1059.04,799.04,260.0,0.0,0.5,0.333333,0.25,0.0,0,8,3000.0,182.53903,400.00556,0.0,12
1920,2791.930619,1.0,231.52,0.0,231.52,0.0,0.5,0.0,0.5,0.0,0,6,3000.0,1828.411354,1109.449182,0.0,12
1936,991.097892,1.0,180.0,0.0,180.0,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,463.990395,1913.53663,0.0,12
1974,121.663829,1.0,488.52,0.0,488.52,0.0,0.5,0.0,0.416667,0.0,0,6,7500.0,459.429985,255.903482,0.0,12
1984,377.56851,1.0,542.51,542.51,0.0,0.0,0.5,0.5,0.0,0.0,0,9,1000.0,567.687367,175.936604,0.0,12
2148,0.533581,0.545455,109.62,0.0,109.62,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,177.666351,0.037744,0.0,12
2292,42.375573,0.909091,150.56,0.0,150.56,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,278.128216,156.291747,0.1,12
2584,1016.583226,1.0,120.0,0.0,120.0,0.0,0.5,0.0,0.5,0.0,0,9,1000.0,358.031022,853.500194,0.0,12
2586,186.706199,1.0,868.0,0.0,868.0,0.0,0.5,0.0,0.416667,0.0,0,6,4000.0,618.964215,268.075781,0.0,12
2664,170.907823,0.909091,1366.3,1366.3,0.0,0.0,0.5,0.5,0.0,0.0,0,11,2000.0,3453.112338,139.388035,0.4,12
2854,190.872836,0.545455,3011.36,0.0,3011.36,0.0,0.5,0.0,0.416667,0.0,0,6,7500.0,2543.018081,70.915266,0.3,12
2952,1.533981,0.545455,141.56,0.0,141.56,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,248.103302,44.570781,1.0,12
3020,47.587585,0.727273,414.8,53.0,361.8,0.0,0.5,0.083333,0.416667,0.0,0,8,4500.0,545.768039,135.094235,1.0,12
3090,1562.633343,1.0,1330.62,1169.63,160.99,0.0,0.5,0.166667,0.25,0.0,0,8,2000.0,1020.783647,709.610053,0.0,12
3102,80.762254,0.636364,861.9,150.0,711.9,0.0,0.5,0.083333,0.416667,0.0,0,7,6000.0,1426.507994,147.707838,1.0,12
3206,820.05973,1.0,162.56,0.0,162.56,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,215.685296,7281.645049,0.0,12
3282,26.680023,0.545455,520.5,0.0,520.5,0.0,0.5,0.0,0.5,0.0,0,15,4000.0,551.370293,88.814191,0.454545,12
3396,807.555134,0.818182,242.06,0.0,242.06,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,1610.237285,504.351185,0.0,12
3444,28.413136,0.727273,215.94,0.0,215.94,0.0,0.5,0.0,0.5,0.0,0,12,4000.0,331.529307,146.818553,0.777778,12
3522,33.078633,0.5,303.91,0.0,303.91,0.0,0.5,0.0,0.333333,0.0,0,4,1200.0,354.34847,83.653033,1.0,6
3588,1337.287314,1.0,1662.41,1662.41,0.0,0.0,0.5,0.5,0.0,0.0,0,10,1500.0,1670.844026,1995.395096,0.0,12
3652,42.653615,1.0,93.24,0.0,93.24,0.0,0.5,0.0,0.5,0.0,0,6,5000.0,156.57819,95.992733,0.0,12
3712,636.20672,1.0,1514.8,1514.8,0.0,0.0,0.5,0.5,0.0,0.0,0,9,1500.0,1340.645745,309.272904,0.0,12
3716,50.571196,0.545455,499.98,0.0,499.98,0.0,0.5,0.0,0.416667,0.0,0,6,2500.0,744.260461,235.440351,0.2,12
3728,57.764354,0.545455,454.2,0.0,454.2,0.0,0.5,0.0,0.416667,0.0,0,15,10500.0,712.993271,164.374194,0.25,12
3750,2786.743524,1.0,231.63,86.63,145.0,0.0,0.5,0.166667,0.25,0.0,0,6,3000.0,711.838166,750.333981,0.0,12
3902,83.148283,0.636364,843.34,843.34,0.0,0.0,0.5,0.5,0.0,0.0,0,17,6500.0,1024.267592,122.850835,0.5,12
3914,70.162707,0.636364,599.0,0.0,599.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,1007.348156,139.86007,1.0,12
4040,929.115076,1.0,611.71,591.71,20.0,0.0,0.5,0.5,0.166667,0.0,0,11,1200.0,1019.527645,273.627647,0.0,12
4042,162.722336,1.0,222.7,94.7,128.0,0.0,0.5,0.166667,0.333333,0.0,0,8,4250.0,367.719858,166.661302,0.0,12
4218,714.813335,1.0,1110.42,0.0,1110.42,0.0,0.5,0.0,0.5,0.0,0,6,2200.0,4296.908322,4130.592522,0.083333,12
4320,629.946336,1.0,1832.92,1832.92,0.0,0.0,0.5,0.5,0.0,0.0,0,14,6500.0,1425.425074,231.1444,0.0,12
4432,4619.500393,1.0,1870.8,1148.75,722.05,0.0,0.5,0.166667,0.416667,0.0,0,11,5000.0,2296.399555,2771.549821,0.0,12
4556,17.206623,0.818182,109.0,0.0,109.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,143.410957,106.187568,0.1,12
4600,4060.966003,1.0,823.1,407.0,416.1,0.0,0.5,0.166667,0.333333,0.0,0,13,11500.0,3347.328701,1220.529171,0.0,12
4664,4060.710208,0.727273,22500.0,0.0,22500.0,0.0,0.5,0.0,0.416667,0.0,0,12,23000.0,8760.860264,1645.535202,0.0,12
4672,417.841508,1.0,311.86,0.0,311.86,0.0,0.5,0.0,0.416667,0.0,0,7,3000.0,802.93759,223.716043,0.0,12
